,Tempo de demora
Cliente 105,4.302764860746929
Cliente 106,4.784014730677728
Cliente 107,3.845687400558392
Cliente 108,4.059820112871082
Cliente 109,3.179335900529548
Cliente 110,5.730832980302544
Cliente 111,5.1777964781972585
Cliente 112,6.27890593076253
Cliente 113,4.108945485139956
Cliente 114,4.516138739512985
Cliente 115,4.281881737844315
Cliente 116,6.762643325496992
Cliente 117,4.920231438822827
Cliente 118,6.089170037745758
Cliente 119,3.3755044387274302
Cliente 120,5.875394722199482
Cliente 121,3.513901809042369
Cliente 122,3.052981740422424
Cliente 123,4.50681833579661
Cliente 124,5.955461763090977
Cliente 125,5.096899003121807
Cliente 126,5.530864549350675
Cliente 127,4.590896528705059
Cliente 128,4.506244358442577
Cliente 129,3.2805509258107515
Cliente 130,5.1231631786993885
Cliente 131,3.5050451366800504
Cliente 132,3.698300694198262
Cliente 133,5.297663082413777
Cliente 134,3.3707478496359915
Cliente 135,3.8348798979340444
Cliente 136,5.293503096745205
Cliente 137,4.2807926381137404
Cliente 138,4.618813081163805
Cliente 139,4.12486914218408
Cliente 140,5.309546060500777
Cliente 141,6.466381142441346
Cliente 142,5.21250365216552
Cliente 143,3.6355555561859996
Cliente 144,5.006872638589921
Cliente 145,4.580232408597659
Cliente 146,3.6613793942213966
Cliente 147,4.407637732335189
Cliente 148,3.2973379896318358
Cliente 149,4.785333151481799
Cliente 150,5.8780120457730325
Cliente 151,4.221640474524537
Cliente 152,5.362335683142144
Cliente 153,4.26586136733153
Cliente 154,4.5863525853430716
Cliente 155,3.7075216878859716
Cliente 156,3.8539518438439777
Cliente 157,6.036749816517974
Cliente 158,3.5677517804335466
Cliente 159,3.210087372234584
Cliente 160,3.6568079621922305
Cliente 161,4.968419905689252
Cliente 162,6.430938246134017
Cliente 163,4.766841271722497
Cliente 164,3.7251188645250757
Cliente 165,4.510391624664937
Cliente 166,3.0933179894747185
Cliente 167,4.688756144568237
Cliente 168,3.4607265823861475
Cliente 169,4.0429361453162365
Cliente 170,5.474713156487512
Cliente 171,5.5901466381262255
Cliente 172,3.9975507452627856
Cliente 173,3.912248412295469
Cliente 174,3.67306938046162
Cliente 175,4.883411988594379
Cliente 176,4.266726215456768
Cliente 177,5.761946590598576
Cliente 178,4.243562243585676
Cliente 179,4.073295022220549
Cliente 180,5.8925902824197145
Cliente 181,4.122319789429226
Cliente 182,3.077785092428238
Cliente 183,3.7231114449294944
Cliente 184,4.889229085036908
Cliente 185,3.741395146914432
Cliente 186,3.6804697031157936
Cliente 187,4.262440037711688
Cliente 188,5.196023786165455
Cliente 189,4.564117059918367
Cliente 190,4.68561214807818
Cliente 191,5.973114443296429
Cliente 192,5.530796216795645
Cliente 193,2.6589330540012988
Cliente 194,6.001839903256223
Cliente 195,4.707436077414133
Cliente 196,4.942806088770333
Cliente 197,4.977775106961586
Cliente 198,4.003140330336613
Cliente 199,3.8363580509205764
Cliente 200,5.118962200873554
